Filename,Subset-type,Speaker-ID,Chapter-ID,Segment-ID,Gender,Ref_trans.,Hyp_trans.,WER
1272-128104-0000.flac,dev-clean,1272,128104,0,M,"MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
",MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,0
1272-128104-0001.flac,dev-clean,1272,128104,1,M,"NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER
",NOR IS MR. QUILTERS MATTER LESS INTERESTING THAN HIS MATTER,0.3
1272-128104-0002.flac,dev-clean,1272,128104,2,M,"HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND
",HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND A ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OF HER MOST READILY TO THE MINE,0.125
1272-128104-0003.flac,dev-clean,1272,128104,3,M,"HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA
",HE HAS GRAVE DOUBTS WHETHER SIR FREDERIC LEIGHTON WORK IS RIDDICK GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,0.125
1272-128104-0004.flac,dev-clean,1272,128104,4,M,"LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN
", MR. BURKE AT FOSTER'S LANDSCAPES SMILE AT 1 MUCH IN THE SAME WAY THAT MR. CROCKER USED TO FLASH HIS TEETH AND MR. JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAPPING THE BACK BEFORE HE SAYS LIKE A SHAMPOOER AND A TURKISH BATH NEXT MAN,0.441176471
1272-128104-0005.flac,dev-clean,1272,128104,5,M,"IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION
",IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE AND EXPRESSION,0.055555556
1272-128104-0006.flac,dev-clean,1272,128104,6,M,"ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY
",ON THE GENERAL PRINCIPLES OF ART IN MYSTIC REALTOR WRITES WITH EQUAL LUCIDITY,0.25
1272-128104-0007.flac,dev-clean,1272,128104,7,M,"PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT
",PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,0
1272-128104-0008.flac,dev-clean,1272,128104,8,M,"AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN
",AS FOR ETCHINGS THERE ARE TWO KINDS BRITISH AND FOREIGN,0.181818182
1272-128104-0009.flac,dev-clean,1272,128104,9,M,"HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER
",SHE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES A CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHELANGELO WAS THE FURNISHING UPHOLSTERER,0.093023256
